Category_Name,Naive_RMSE,HW_RMSE,SARIMA_RMSE,Best_Model,Best_RMSE_%
Automotive,21635.95,30323.19,36939.23,Naive,29.75
Beauty,6375.61,7227.79,15099.98,Naive,46.43
Beverages,18.31,16.45,107.01,Holt-Winters,91.04
Books,943.91,1226.17,564.82,SARIMA,68.51
Cleaning_Supplies,4359.97,8749.94,8579.57,Naive,24.92
Clothing,8581.8,21125.68,54499.81,Naive,13.77
Computers,1220634.41,1493818.25,1892404.93,Naive,37.48
Dairy,1565.84,1634.22,1201.73,SARIMA,25.93
Electricals,17468.67,23574.67,42930.74,Naive,34.13
Electronics,1323.29,1845.61,1545.0,Naive,23.37
Fitness,43090.1,43375.73,30216.95,SARIMA,76.3
Food,13904.52,15838.64,14910.88,Naive,52.18
Footwear,421.08,422.58,380.43,SARIMA,144.87
Furniture,833714.35,926654.54,9787958.53,Naive,39.76
Gardening,157872.67,176321.56,232574.16,Naive,24.07
General_Merchandise,112842.07,222656.55,1590450.67,Naive,16.26
Hardware,1541.05,1844.49,3641.68,Naive,15.03
Healthcare,436.77,1925.04,3281.53,Naive,55.51
Home_Appliances,2631737.8,3382312.07,2379640.0,SARIMA,43.17
Kitchenware,157.97,168.02,162.21,Naive,53.79
Lighting,78.09,45.14,68.97,Holt-Winters,20.52
Medicine,1344.9,4257.75,3868.57,Naive,25.37
Mobile_Devices,1701.85,1468.65,1640.88,Holt-Winters,72.88
Personal_Care,40564.42,41062.26,45761.32,Naive,91.7
Pet_Supplies,292.59,224.53,248.77,Holt-Winters,57.7
Snacks,574751.65,499344.98,588428.01,Holt-Winters,64.03
Sports,31178913.75,33003534.61,23907164.79,SARIMA,38.13
Toys,237.69,206.04,189.63,SARIMA,24.86
Travel_Accessories,32000.58,30418.15,32205.05,Holt-Winters,40.85
